eoa,points,rank
0xA4F4406D3dc6482dB1397d0ad260fd223C8F37FC,21075,79
0x70eB07eA4BA7e7C9cCa0C36a798d94fe52bf5aDe,20938,80
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,20839,81
0x4BDFAE7d2A6FC206c5a80f4d41e683a5D5b30D5b,19910,82
0xD0961FfFDF9B74FB1C12a4500ee739df8814453A,19162,83
0x5Dc4f6D286a16DCf35c90eB73B46F637619D842d,18976,84
0x3a1191221d6cF7584fA220378B1d911c5A051f95,18820,85
0x3F888f4E16a08C6B3745dDbaDe98e24569852FA4,18776,86
0x9Db87d302D3442eF6108510AA08F276a82724633,18732,87
0x0dEf0BaCf09a27E0836EF3096F9c3AE859aC13eA,18692,88
0xF68D2BfCecd7895BBa05a7451Dd09A1749026454,18578,89
0xEb5DB29887f52f9166f9A613ee738a996b91f53E,18461,90
0xd5Cf44F59D0079bE8764d1041c5D238864E7A28B,18304,91
0xe9442731E5c6dB811b2efAeF1e0D9abE62Bf30dB,18181,92
0xd7093D65494F0A5f0fbfE01F10122826308978d7,18020,93
0x15E685DF3A01393dB4EBAc2Da0dd1a6FD1aac6B6,17767,94
0x13975117e55160D6b30C34f02aE8D338FC4F951F,16966,95
0xC998437D172688856777182Ee3526376c223dE24,16885,96
0xeeD458447682A67445ab5800576A60c87ea95A4e,16758,97
0xAf1861eB2ffB134CDB9D0a25a176aCaE678Fd4f7,16529,98
0xda1Ec362013ee5575Dd30a62A4DD47E842e37c74,16335,99
0xEFB097eA74322c6eB4c4775f367bFE0A2C2f19E3,16260,100
0xE751D56c31DC1B16595a2CdfC94388687E26a674,16258,101
0x3e2e2D44960e041FCa5F4919d524A2CE76b7aB03,16181,102
0x3290BB2dba0a4DEa2c4723014c902a17B2bCa1aC,16040,103
0x7dbC5F88986db946f1d5987eDfbF9C6917230fa2,16030,104
0x6Ce4E9d75A1d6340812284Ef564c256061Cf10Ba,15850,105
0x0b193945cF022c8965F5e1b9f9888ED2594E000d,15766,106
0xE9e71AA6c8639403E39755F6B0A3805d9Cb8d057,15603,107
0x6f61B27439c215CA67fEB77D938d159A7fD6498c,15462,108
0xcFBa6D63EC822425775d3C509E60ff689C1Ae1e7,15365,109
0x540616BF2BB6Ba7c7f663ECcE3c25D558D923076,15320,110
0xc5730D86Fe503045fD3995Cb46E875239F1F7b5e,15118,111
0x433ff4838b5dc609cC4172B0227726eC7Df8f392,14641,112
0x498D44331f969832Aa6b0D6403fbC7e7405ff709,14505,113
0xD1e36945E72dbc64b4072e61C6831622AEa606cC,14346,114
0x854F1269b659A727a2268AB86FF77CFB30BfB358,14300,115
