eoa,points
0x026be68a597b19a7663753ab4958911487d1e3cc,300
0x1e9eadee5e2587a5c1327351248251146a0e7eed,300
0x53F773f4456DC13Bd06e2b48B0E8665eE7a327DC,300
0xcd800b91ffffa5689c4296f60cd924d6170067f3,300
0x04883d2594f79d49da0c793d8df898a51d6aa54f,300
0x3D4B04570D61f42577859C3fA7AC839b8948054C,300
0x2139C0AeFa2fA14c277cA7980594EF72764679aA,300
0x8D106c747CD21272D4C9Ff0Af8d53A9C9AcA25d2,300
0xA9821681fEF27Ed817DF77E476DDDAf0aDac4443,300
0x627D4071EB5fE32bf0e467e90EE9678c6EACe069,300
0x5C0Aed74917667f07786947Ed677A7E3c808e006,300
0x05060aB771834Cd3f69733ffbb9795E6231D815b,300
0xFB7208e979C3e18Dc198661b5002D885EE97850B,300
0x57B8D62bD38cfc9c4D3f50b020F98a1C97BcdFfa,300
0xb3e70737e44385f4a4d6110e42d61cc084b18c8b,300
0x4dE4bAd3c0528cE1703EBaA9B58db7b05BE4AFdf,300
0xd13cf36b646adcad473523f7b32baa74f4f8f502,300
0x2fdf83bdFd835cf4723E6b02cE1Ba301c149a535,300
0xD0836900D2114028cE36ABa42aF771F25783b6e7,300
0xB74d79623e338CbE38e971F6a1A1690c886fF124,300
0x82565fe670cb58b8ad98b884334445fcdbc1900f,300
0x20DbFE1A1D043898Effc61F5341a03d9aDe13F87,300
0x1E27C17432ABfF8E314b421BE50c63a42d3e95E0,300
0xCc4f1cb6064A69aC83A5133FFCf09217ae33c2CF,300
0xc47F2266b6076b79C0a6a9906C6592b34C03c914,300
0x68599057D850C6f99B05fE3B2fb6F4900e9596EB,300
0x47C1fC1700f72e08D5f4bf77b2D6916C21dC9Eb6,300
0x89Df1F9aCea150548C9CBC2F1591812B9A3e3a9d,300
0x9f00c8231cd2a680701A0e34667B52A0b96a20e5,300
0x43C0347D035EB1b4B3a0d35ea483ab9680f6a097,300
0x64B92f0eeACc42FB4d885016410Bc37763d3412e,300
0xD10253614E2a6354DaF36b751fCD55E98f607207,300
0xcc7842f66fa9a8ab6920854ec3db9517aad9bbce,300
0xb8d4bCe37e27F1F02F224EA13a261388B6b6C257,300
0xDEf4812Cb563C6eC784E8AE38A11dAe230E1B134,300
0x5D2534719706d65095019c10bb1fe5903E79AD63,300
0xca04C1bDe4eF2d410eeB6CB5cEF8E14916F18dab,300
0x9039aC4Cf19f583Ebb1c8E3b5b7AcfFF08F9912b,300
0xe191fd642526080938ac53ba1966ffe196d238c0,300
0xc7400C9fB60ff8e24D52179f360C86f1c21A7adC,300
0x166b2b616b22C290b84DC9a84dCe267ce7595307,300
0xE20e4722f01B6E78C1a7D9d1b9De7576e4e2d11a,300
0xD0bF1A780FDcB600836Cce48d8574d7082132439,300
0x893Ed6ee86C37c1f47bc9B2d6678f65F55815E61,300
0xd3C6f4e8276e31f82824171E3D87fEa25faeAA12,300
0x64e4c58c37a88d6c7502dD17Ca42F01A433797DA,300
0x2255dC40742b089A15B6b6fef6F675E6F146f525,300
0x6b635491bd507fe8f6734517021e66102fe3217a,300
0x9EbdBE774aBE1B97703107aCb50275ADe3B8Fc5a,300
0xf6c6b1e162e013b51ff954ebf1e84dd4d3b5b34c,300
0x6D1A5b7CD1e54B04BcD74e3978b824b2c0C45080,300
0x578d4d610bd0984dba26421f8923168416b90dda,300
0xDB8175dFa21845cA61F0076acC61e173914D4E17,300
0x7991Ea478bc3FF1028Bf220B4356f9aca2410cC4,300
0xda68a8f7dadaed387be410bbd172e8af4ee383a7,300
0x83694e1f311a8a0e30f6e21afda4a35e5516481e,300
0xc2a72f636e12e272fcb41fc08327702c81d26e5d,300
0x27756334f9dd3c3c0820e2f714a487158d2d4340,300
0xE3B51Ca711d3fa524F3bF78b3069a14DD70e6CEe,300
0xdebbb895d9f77695c88fc8b51d7f3c9df81cdbc3,300
0xd7a3c4aea44a4455905d602b22dd7b165a9e7ff2,300
0x02c80a9f2ef2e1823ac18b1b68a10f5ee926cbfc,300
0x11e90abf73eb4ffd9c93f4e111b79ae6ea8c242d,300
0xca0c8c28EC2f352649B3b9D2b8C673E6254142D6,300
0x9c1706e5ae167b95a20d675c2d710b1b0b6437b4,300
0x9c2e6d5a97352eaf6e732483031f9a2ff00f4635,300
0x5374bB6dEc66605c4332add186a884a0658241Ac,300
0xd5447cbb0b1a106ae380cb031f5967e2c8f8d4cb,300
0x9c2e6d5a97352eaf6e732483031f9a2ff00f4635,300
0x7ab7ef097143c51491b183ce1386e661256c5a37,300
0x6ad0f7e6f008fadcde9cf73b6819ed42359bbca7,300
0x5f4540b664d31bb937b8f958cb249afb98e5ca3d,300
0x9BD215C2530dF574657510B2F991d5C326df7C50,300
0x54cd93891a1b98765b38c3549d34e107ea189459,300
0x7077632921154cc2c42d93813c848157a20767b3,300
0xa1f6712f696f96f9464331bbdcc085ecc0164232,300
0xd2089f516ca21e4b468505df6cc9361682e36524,300
0x0c597b29ae0826514cb28fab40aaeca6d4802ef5,300
0xd2089f516ca21e4b468505df6cc9361682e36524,300
0xF4b40B20572D117EAD7b5ca3C7eFf7d3CBdC4067,300
0xb4e54c164f477b4db6b56c6ec880aa9a0c6b6c46,300
0x9da35f87ac8c59f0ea1784260deddc30eddecbb5,300
0x56d7fc055eca38cd799a68e9f8509c11c62fc1ee,300
0xbdbac1d1c104269c5a29fa79251d29b32658fbf1,300
0x0b6e59a1f9460ad1dfe7e63608fcb27611140425,300
0x8b8fe2ce762d29f5be3a45e11c653b2b89195e75,300
0x1D1BebB6734B75424F00902bF90c86735e52319C,300
0x4f467ce26ffe4414d1b912c9ea689a01c9e95798,300
0x5d7d60a24bdd229eccef7c18c19104b0d2418dc1,300
0x4bc2ea2f9be0954dc0d597215ee4effbca8581c5,300
0xc4ccDAc2d887Fe34567029b856ca30a2827C5CAe,300
0x0636B47164ea3099C6FC39c52A3f4b7B7Ecaa03B,300
0x73c77d0bced37c5a4e83f072e74dfb18678de481,300
0x64286deb8f29abb73ff9377232ad9c1bb7800f9e,300
0x83a2c0b17113229e17496e0d032bdc0b488eb75b,300
0x523fc69a40cc6b089689506137bc7dcaa16aa58d,300
0x3ce9e71775a224fbe258d40617c2f94924eadbf4,300
0xd88e1d96dd3fc3929cc0e944866e8e6dcc3013e0,300
0x5d3bdad1f8f9546a165daff6c04ad8762a19adfc,300
0x172973f4070a40391372216dd778b650f77b4e96,300
0x94949a41fEF4039cd04Be7E373dF0ea018ec89B5,300
0xd753361744d896d12f17ae67c2d662e7e88973f2,300
0x313136565de9b00a831040e0201d885eaad5e2fe,300
0x38a8996f3e2588b8b4f0486e7c2836145c2f2ff0,300
0x62e77a4c7bac6f54927b164b5cf7ac981cbb8f4d,300
0x697825c96029920b3ba9a9292cb60cb4918f5753,300
0x2f73ff2a6f0bbd147fd7fc6ed17e1d862c973190,300
0x43bbe8b1717374416557a72918cfa1ac373ba4f6,300
0xfe7aec90c8e92a72e9b2124fc14d639021360a54,300
0x1d0860678bd0ec19a20afeb80fd2fb963d5526a2,300
0x887d45c733fa5fec5395639a6a06e11d3da48828,300
0xd18c5c4584251dbc51d6b63531abb7983bbdc694,300
0xb2c90b9450fb9583f5f9ab6e6278b00bca3ae48d,300
